time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-22T19:13:40.416Z,23.8274,121.5825,12.034,4.6,mb,43,79,0.51,0.57,us,us6000mt11,2024-04-22T20:33:39.040Z,"16 km S of Hualien City, Taiwan",earthquake,3.27,4.596,0.082,44,reviewed,us,us
2024-04-22T18:32:48.597Z,23.8672,121.5385,10,6,mww,121,22,0.522,0.84,us,us6000mt0s,2024-04-23T18:42:36.846Z,"13 km SSW of Hualien City, Taiwan",earthquake,3.38,1.762,0.073,18,reviewed,us,us
2024-04-22T18:26:53.286Z,23.7241,121.6406,10.727,6.1,mww,98,51,0.456,0.78,us,us6000mt0r,2024-04-23T20:11:37.040Z,"28 km S of Hualien City, Taiwan",earthquake,4.95,3.852,0.059,28,reviewed,us,us
2024-04-22T17:40:25.600Z,23.7125,121.5622,18.53,4.5,mb,41,82,0.401,0.58,us,us6000mt0g,2024-04-22T18:52:55.291Z,"29 km S of Hualien City, Taiwan",earthquake,2.67,3.968,0.085,40,reviewed,us,us
2024-04-22T16:45:24.586Z,23.7759,121.6491,10,4,mwr,43,81,0.5,0.72,us,us6000mszu,2024-04-22T18:32:12.040Z,"22 km SSE of Hualien City, Taiwan",earthquake,2.34,1.898,0.068,21,reviewed,us,us
2024-04-22T16:33:04.742Z,23.8075,121.6515,27.921,4.1,mwr,65,80,0.526,0.75,us,us6000mszm,2024-04-22T18:21:21.040Z,"19 km SSE of Hualien City, Taiwan",earthquake,3.59,3.943,0.063,24,reviewed,us,us
2024-04-22T15:56:44.717Z,23.7456,121.5457,8.28,4.4,mwr,65,81,0.419,0.74,us,us7000mdw6,2024-04-22T17:05:02.040Z,"26 km SSW of Hualien City, Taiwan",earthquake,2.35,4.242,0.068,21,reviewed,us,us
2024-04-22T14:20:09.614Z,23.7058,121.6248,8.433,5,mb,54,83,0.433,0.81,us,us7000mdv0,2024-04-22T15:09:10.904Z,"30 km S of Hualien City, Taiwan",earthquake,2.53,4.108,0.061,85,reviewed,us,us
2024-04-22T14:11:23.701Z,23.7288,121.5624,11.793,5.8,mww,95,44,0.414,0.72,us,us7000mduw,2024-04-23T20:16:14.040Z,"27 km S of Hualien City, Taiwan",earthquake,2.02,3.588,0.062,25,reviewed,us,us
2024-04-22T13:42:57.546Z,23.7762,121.6095,12.949,4.4,mwr,66,66,0.478,0.7,us,us7000mdut,2024-04-22T14:15:17.040Z,"22 km S of Hualien City, Taiwan",earthquake,3.07,4.138,0.068,21,reviewed,us,us
2024-04-22T13:13:41.044Z,23.6687,121.5648,10,5,mww,79,74,0.369,1.36,us,us7000mdup,2024-04-22T14:29:44.795Z,"34 km S of Hualien City, Taiwan",earthquake,3.43,1.83,0.093,11,reviewed,us,us
2024-04-22T13:00:42.680Z,23.6869,121.5845,6.021,4.5,mwr,65,82,0.394,0.71,us,us7000mdul,2024-04-22T13:25:56.338Z,"32 km S of Hualien City, Taiwan",earthquake,2.53,4.404,0.068,21,reviewed,us,us
2024-04-22T11:45:36.047Z,23.6726,121.565,10,5.1,mb,52,94,0.372,1.01,us,us7000mduc,2024-04-22T12:35:08.040Z,"33 km S of Hualien City, Taiwan",earthquake,4.2,1.846,0.055,127,reviewed,us,us
2024-04-22T11:34:30.511Z,23.7846,121.5241,10,4.9,mb,41,81,0.442,1.12,us,us7000mdu7,2024-04-22T12:24:09.040Z,"22 km SSW of Hualien City, Taiwan",earthquake,2.24,1.872,0.102,50,reviewed,us,us
2024-04-22T11:25:14.511Z,23.6051,121.5946,10,5,mb,56,75,0.346,0.73,us,us7000mdtx,2024-04-22T11:48:20.040Z,"41 km S of Hualien City, Taiwan",earthquake,5.53,1.877,0.054,109,reviewed,us,us
2024-04-22T11:13:11.658Z,23.7529,121.5866,10,5.1,mb,60,44,0.446,1.2,us,us7000mdtl,2024-04-23T02:20:27.357Z,"24 km S of Hualien City, Taiwan",earthquake,3.17,1.832,0.048,143,reviewed,us,us
2024-04-22T11:10:13.730Z,23.6924,121.5872,10,4.9,mb,33,134,0.4,0.84,us,us7000mdtw,2024-04-22T13:17:35.040Z,"31 km S of Hualien City, Taiwan",earthquake,3.29,1.899,0.061,85,reviewed,us,us
2024-04-22T10:50:31.016Z,23.7158,121.63,10,5.6,mb,77,74,0.444,0.88,us,us7000mdti,2024-04-23T20:20:49.040Z,"29 km S of Hualien City, Taiwan",earthquake,5.33,1.856,0.037,264,reviewed,us,us
2024-04-22T10:46:22.449Z,23.7074,121.595,10,5.2,mb,66,75,0.974,0.8,us,us7000mdtc,2024-04-23T20:18:29.040Z,"29 km S of Hualien City, Taiwan",earthquake,5.94,1.88,0.075,59,reviewed,us,us
2024-04-22T10:08:07.383Z,23.7132,121.5565,10,4.6,mb,31,82,0.398,0.8,us,us7000mdt8,2024-04-22T13:29:05.040Z,"29 km S of Hualien City, Taiwan",earthquake,2.21,1.86,0.084,42,reviewed,us,us
2024-04-22T09:52:54.941Z,23.717,121.6324,12.142,4.9,mb,65,82,0.446,1.14,us,us7000mdt4,2024-04-22T10:23:14.040Z,"28 km S of Hualien City, Taiwan",earthquake,2.02,4.143,0.051,174,reviewed,us,us
2024-04-22T09:12:11.180Z,23.7867,121.5642,10,5.1,mb,44,57,0.463,0.57,us,us7000mdt2,2024-04-22T09:54:44.040Z,"21 km S of Hualien City, Taiwan",earthquake,4.26,1.585,0.059,94,reviewed,us,us
2024-04-22T09:08:39.073Z,23.7004,121.6098,8.892,5.3,mww,62,57,0.42,1.1,us,us7000mdsw,2024-04-22T11:11:12.086Z,"30 km S of Hualien City, Taiwan",earthquake,4.22,4.404,0.083,14,reviewed,us,us
2024-04-21T18:53:22.995Z,23.8937,121.6166,24.776,4.3,mwr,51,71,0.579,0.73,us,us7000mdpu,2024-04-21T19:11:01.040Z,"9 km S of Hualien City, Taiwan",earthquake,3.41,5.072,0.069,20,reviewed,us,us
